File Path: C:\MTS TestSuite\Data Files\Lab2 Group4 04-02-2021 15 36 34\Test Data - (Timed).txt   
Test: TensileUn80 1
Test Run: Lab2 Group4
Date: 04/02/2021 15:16:23


Running Time 	Axial Displacement 	Axial Force 	Axial Ext 
sec	mm	N	mm
0.154296875	-0.296035897918046	241.7412109375	-0.0485574018966872
0.25390625	-0.296860001981258	233.754257202148	-0.0485613199998625
0.353515625	-0.296863843686879	234.060287475586	-0.0485372002003714
0.453125	-0.2966612810269	222.501052856445	-0.0486005337734241
0.552734375	-0.29685502522625	221.185501098633	-0.0485982563986909
0.65234375	-0.29588837060146	223.574234008789	-0.0485543678223621
0.751953125	-0.297231250442564	226.149307250977	-0.0485561977257021
0.8515625	-0.29615918174386	216.431594848633	-0.0486314711451996
0.951171875	-0.295281788567081	222.318740844727	-0.0486198114231229
1.05078125	-0.296985410386696	222.748275756836	-0.0485862838104367
1.150390625	-0.297077698633075	208.519515991211	-0.0486950048070867
1.25	-0.297255552140996	208.892761230469	-0.0486921853735112
1.349609375	-0.297434744425118	205.853790283203	-0.0487410288769752
1.44921875	-0.297061953460798	216.606628417969	-0.048647380026523
1.548828125	-0.296486163279042	201.019454956055	-0.0487457546114456
1.6484375	-0.296281737973914	203.904281616211	-0.0486676217406057
1.748046875	-0.29625091701746	204.416061401367	-0.0486622193420772
1.84765625	-0.297480175504461	196.529815673828	-0.0486743447254412
1.947265625	-0.297713064355776	185.827270507813	-0.0486995886603836
2.046875	-0.297273800242692	195.375244140625	-0.0486893295601476
2.146484375	-0.297624355880544	193.588409423828	-0.0487322577100713
2.24609375	-0.297474034596235	185.087875366211	-0.0488192927150521
2.345703125	-0.297441059956327	179.978408813477	-0.0488756777485833
2.4453125	-0.297997583402321	195.014770507813	-0.0487367724417709
2.544921875	-0.29674285906367	195.538970947266	-0.0488063560624141
2.64453125	-0.297967984806746	181.075256347656	-0.0488762780150864
2.744140625	-0.298493425361812	156.857498168945	-0.0489896956423763
2.84375	-0.298010068945587	176.388076782227	-0.0488936384499539
2.943359375	-0.29731699032709	169.843688964844	-0.0488928199047223
3.04296875	-0.297677208436653	167.86051940918	-0.0488645600853488
3.142578125	-0.296998332487419	176.283157348633	-0.0488310543005355
3.2421875	-0.297564372885972	153.858154296875	-0.0489158628624864
3.341796875	-0.298352824756876	161.623184204102	-0.0489223784825299
3.44140625	-0.298682716675103	166.641891479492	-0.0488260557176545
3.541015625	-0.298415368888527	159.457931518555	-0.0489233716507442
3.640625	-0.298311817459762	148.788101196289	-0.0489915546495467
3.740234375	-0.298891274724156	136.977844238281	-0.0490264028485399
3.83984375	-0.298970146104693	143.688690185547	-0.0490261627419386
3.939453125	-0.298122351523489	148.158706665039	-0.0489889753225725
4.0390625	-0.299709208775312	137.079010009766	-0.0490761231048964
4.138671875	-0.298938160995021	138.399887084961	-0.0490858328703325
4.23828125	-0.298583414405584	150.265594482422	-0.0490088896185625
4.337890625	-0.298547412967309	143.315689086914	-0.0490400525450241
4.4375	-0.298715429380536	150.388946533203	-0.0490246857225429
4.537109375	-0.299067207379267	115.612495422363	-0.0492285362270195
4.63671875	-0.300025247270241	125.60506439209	-0.0491665632580407
4.736328125	-0.29935355996713	128.508087158203	-0.0491745631734375
4.8359375	-0.300484098261222	131.297576904297	-0.0491254759253934
4.935546875	-0.299641891615465	120.759719848633	-0.0492207545903511
5.03515625	-0.299609120702371	109.796852111816	-0.0492510334879626
5.134765625	-0.298995757475495	128.78239440918	-0.0491829414386302
5.234375	-0.300451269140467	115.765281677246	-0.0492681720061228
5.333984375	-0.299745326628909	106.40754699707	-0.0493600055051502
5.43359375	-0.300511426758021	111.236427307129	-0.0493670704599936
5.533203125	-0.300824176520109	114.852546691895	-0.04931188232149
5.6328125	-0.301243591820821	110.205871582031	-0.0493270163133275
5.732421875	-0.300162879284471	108.325378417969	-0.0493159859615844
5.83203125	-0.300688756396994	101.500518798828	-0.0493198567710351
5.931640625	-0.300918123684824	96.7386932373047	-0.0493557745357975
6.03125	-0.301791122183204	97.1054916381836	-0.0493409097543918
6.130859375	-0.301963125821203	95.1507186889648	-0.0493553816340864
6.23046875	-0.302147847833112	96.88427734375	-0.0493462757731322
6.330078125	-0.302727363305166	89.1314926147461	-0.0493622865178622
6.4296875	-0.302871834719554	95.8756484985352	-0.0493768457090482
6.529296875	-0.302330794511363	97.5979232788086	-0.0493749575980473
6.62890625	-0.301662279525772	98.234016418457	-0.0493741572427098
6.728515625	-0.302799307974055	97.0353775024414	-0.0494177875225432
6.828125	-0.302778702462092	97.8523864746094	-0.0493981242470909
6.927734375	-0.302350788842887	98.0481338500977	-0.0494088053528685
7.02734375	-0.302357802866027	98.1213226318359	-0.0494326450279914
7.126953125	-0.302403059322387	92.6430053710938	-0.049463429604657
7.2265625	-0.301994848996401	109.890037536621	-0.0493313236802351
7.326171875	-0.302596599794924	97.4758758544922	-0.0494389169034548
7.42578125	-0.30332722235471	95.7623291015625	-0.0494363011966925
7.525390625	-0.302156578982249	96.8367691040039	-0.0494028536195401
7.625	-0.302637927234173	96.9541625976563	-0.0494162559334654
7.724609375	-0.302869448205456	98.451774597168	-0.0493820152769331
7.82421875	-0.302377913612872	93.2956771850586	-0.0494266314490233
7.923828125	-0.302195054246113	101.300636291504	-0.049379319534637
8.0234375	-0.302872300380841	99.9766159057617	-0.0493659281346481
8.123046875	-0.30317684286274	86.5928039550781	-0.0494266896566842
8.22265625	-0.302855623885989	96.26220703125	-0.0494041996716987
8.322265625	-0.302234548144042	103.201240539551	-0.0493153747811448
